country,ISO_A3,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cyprus,CYP,26246.15,25719.12,27057.44,30551.54,33015.34,35388.91,39410.14,38174.32,43637.41,49081.8,53033.14
Czechia,CZE,324029.97,342099.83,357503.88,381420.34,411327.87,437355.92,478737.96,469877.0,508669.69,551769.3,585187.18
Germany,DEU,3628559.7,3807112.94,3889081.66,4165169.65,4386727.41,4576054.32,4840312.37,4815445.17,5153136.08,5582288.43,5857856.2
Djibouti,DJI,3702.24,3978.45,4350.58,4598.43,4933.19,5448.5,5876.86,6188.06,6669.03,7404.76,8187.08
Dominica,DMA,718.97,773.33,789.49,847.4,805.11,907.22,1032.24,917.49,1047.97,1184.39,1285.4
Denmark,DNK,262368.11,270330.62,278748.35,297719.08,319130.16,333035.36,353443.96,364633.32,409262.26,460163.45,456059.28
Dominican Republic,DOM,126801.72,139239.73,154909.32,172145.44,181804.31,195301.14,214845.35,209932.48,243740.49,273577.8,290243.21
Algeria,DZA,552043.16,576084.36,552563.71,548945.7,562537.09,583472.0,601470.92,558300.14,649014.84,719721.78,776539.79
East Asia & Pacific (excluding high income),EAP,22311379.68,23635222.63,24594692.22,25994092.12,27753523.59,30213438.85,32623409.69,33422516.35,37597004.98,41709705.19,45384439.39
Early-demographic dividend,EAR,24610552.42,25673333.49,26374764.81,27744436.56,29511395.17,31581609.71,33047116.72,32613787.02,36678076.95,41859153.05,45656277.73
East Asia & Pacific,EAS,32284049.84,33811566.73,35128816.86,36677812.0,38778509.86,41606757.25,44308578.89,45214861.41,50267179.18,55316986.63,59827593.27
Europe & Central Asia (excluding high income),ECA,3590055.51,3747228.36,3852964.68,4032404.49,4269548.46,4454386.35,4756895.54,4879553.72,5502272.75,6145029.01,6906197.47
Europe & Central Asia,ECS,26742061.91,27529274.84,28045120.56,29456965.84,31128148.78,32807484.66,35303525.8,34885886.2,39244793.85,43193989.35,45970683.66
Ecuador,ECU,178551.2,189785.46,176939.94,179600.49,197653.05,207780.86,217496.14,202250.0,239415.31,272125.99,288687.74
"Egypt, Arab Rep.",EGY,1002088.46,1000296.47,1085943.37,1084107.4,1153591.17,1302980.4,1437311.65,1665073.26,1728601.01,1972207.97,2120932.5
Euro area,EMU,13245596.21,13618623.55,14032754.76,14929449.79,15679676.59,16380015.47,17621624.8,17100154.35,18807129.11,20737642.82,21927411.62
Eritrea,ERI,,,,,,,,,,,
Spain,ESP,1512562.24,1558985.38,1621825.07,1734117.18,1842771.29,1905449.21,2061660.47,1845713.58,2068305.58,2326112.2,2553107.62
Estonia,EST,36198.15,38050.12,38378.22,41201.01,44556.47,48133.34,52868.45,53241.22,59428.77,64665.65,66932.48
Ethiopia,ETH,123330.86,150119.42,169575.37,198234.21,219853.61,236067.22,259534.67,286209.79,316145.11,356412.09,393407.62
European Union,EUU,15958753.47,16442350.25,16993292.5,18066673.61,19038528.72,19960542.91,21560833.81,21089190.0,23216069.68,25651955.36,27125247.09
Fragile and conflict affected situations,FCS,3859448.98,3963377.25,3878882.41,4020330.11,4247277.95,4604001.48,4922395.43,4889896.05,5238586.45,5505042.17,5818952.63
Finland,FIN,225680.04,228058.55,232867.49,246928.41,262026.48,273456.04,290269.72,296764.04,320209.3,347806.71,363315.98
Fiji,FJI,8253.36,9829.2,10778.36,11015.8,11778.09,12130.55,12094.69,10279.86,9795.24,12583.63,14089.14
France,FRA,2608522.47,2662033.4,2718496.74,2864106.38,2983008.9,3125379.88,3452965.77,3344383.97,3648077.71,3914742.0,4169071.15
Faroe Islands,FRO,2399.25,2573.65,2622.89,2686.74,2830.97,3005.35,3222.68,3231.0,3603.02,4064.91,
"Micronesia, Fed. Sts.",FSM,346.68,344.58,363.85,369.09,378.79,387.47,410.05,407.32,437.92,465.11,485.84
Gabon,GAB,27735.51,29386.49,29199.27,29399.53,31914.85,34140.59,36169.09,33563.08,45775.58,50452.8,53475.29
United Kingdom,GBR,2562195.07,2666661.89,2767234.47,2892297.88,3041891.55,3129649.83,3335878.39,3220293.64,3541778.83,3847920.02,4026241.43
Georgia,GEO,40140.93,43780.1,45707.84,48700.95,51144.26,55979.87,62387.6,62509.09,70150.78,83318.89,92810.51
Ghana,GHA,142807.2,154709.16,148971.92,147108.96,155172.03,169624.93,187633.39,192835.18,214867.18,238776.14,254767.26
Gibraltar,GIB,,,,,,,,,,,
Guinea,GIN,20615.46,21491.24,22706.69,27228.62,33281.44,36138.28,40482.44,44832.75,50542.88,56644.4,62855.1
"Gambia, The",GMB,4221.82,4185.55,4427.52,4596.49,4775.62,5465.02,5949.8,6366.83,7155.63,8036.14,8770.16
Guinea-Bissau,GNB,2401.2,2534.91,3090.47,3342.06,3907.71,3955.76,4117.99,4200.66,4694.37,5235.95,5657.34
Equatorial Guinea,GNQ,37572.29,38043.51,28320.53,25110.51,28802.41,29763.39,27476.69,23476.32,29585.33,32845.24,32104.89
Greece,GRC,284949.1,290011.17,289570.76,296466.37,307636.1,317881.65,338922.2,311203.07,348976.77,405841.49,426748.71
Grenada,GRD,1270.99,1395.68,1515.38,1609.23,1736.36,1848.15,1907.44,1670.79,1785.11,2050.68,2227.65
Greenland,GRL,2987.59,3183.77,3132.04,3309.84,3370.89,3462.6,3613.25,3655.83,3857.3,,
Guatemala,GTM,118481.71,129165.01,142691.59,149695.82,158386.82,167560.72,183966.42,190006.6,207137.81,230852.98,247604.8
Guam,GUM,,,,,,,,,,,
Guyana,GUY,8400.15,8405.9,8656.53,8793.31,9408.66,9848.94,10694.27,13581.36,18646.75,32622.07,44974.52
High income,HIC,55787057.7,57493529.95,58514067.73,60458239.56,63377001.53,66701856.07,70159621.86,68965101.61,76756607.52,84084961.66,88867950.94
"Hong Kong SAR, China",HKG,384196.2,394115.66,408626.64,416436.29,438127.78,453865.39,459644.3,435300.51,488411.63,503557.81,538692.25
Honduras,HND,36777.85,40422.04,44760.25,48814.1,53891.61,55011.17,57523.23,54491.21,63827.91,71153.02,76388.59
Heavily indebted poor countries (HIPC),HPC,1491477.73,1640395.33,1729912.63,1852784.33,1976208.27,2116386.17,2288263.82,2347698.27,2578178.6,2881670.75,3112310.98
Croatia,HRV,94553.53,95207.71,98618.93,106143.79,112975.48,119186.55,131427.84,124218.48,144424.53,163475.79,176899.0
Haiti,HTI,31101.51,31905.36,31841.59,34719.28,36124.69,35046.38,35947.13,34891.69,35658.76,37527.5,38170.41
Hungary,HUN,242855.18,253484.63,263781.87,274222.71,288707.45,311927.14,343481.05,341546.87,375267.85,420223.66,440579.52
IBRD only,IBD,51015061.64,53155781.93,54239134.99,56876783.0,60572953.94,65400583.73,69785982.2,70425983.67,80060081.51,89156319.48,96944402.11
IDA & IBRD total,IBT,56000841.37,58530755.91,59871748.1,62803744.7,66823385.07,72124824.61,77002912.7,77841943.17,88096595.45,98136078.19,106564127.54
IDA total,IDA,4993548.93,5384463.45,5643443.24,5938520.12,6262131.91,6736859.96,7230420.21,7429467.06,8052183.24,8997399.51,9636607.14
IDA blend,IDB,2303010.91,2460666.42,2556657.95,2626032.55,2723982.86,2878229.53,3044282.95,3106570.1,3360133.9,3749789.25,3976154.16
Indonesia,IDN,2524244.79,2605517.44,2625201.73,2715764.06,2857305.08,3069918.63,3266185.83,3223404.54,3530623.14,3979794.03,4333084.5
IDA only,IDX,2695547.41,2930040.07,3094159.97,3322926.69,3551038.02,3873689.3,4203322.27,4341046.24,4711875.51,5269939.67,5686663.48
Isle of Man,IMN,,,,,,,,,,,
India,IND,6497743.44,6812807.11,7204580.7,7795524.02,8354710.14,9230789.42,9932850.52,9771021.18,11384367.63,13037380.6,14537383.62
Not classified,INX,,,,,,,,,,,
Ireland,IRL,221005.23,238657.01,325443.24,339580.23,375788.56,413324.39,448732.01,483914.61,574387.42,686132.03,671603.05
"Iran, Islamic Rep.",IRN,1250610.25,1255791.38,1131039.62,1221422.58,1281375.17,1277953.99,1162001.17,1237805.78,1322577.16,1469165.93,1598124.39
Iraq,IRQ,517535.38,481300.15,350607.54,349270.95,400912.99,484572.67,504546.09,445338.05,548372.04,631827.46,635633.82
Iceland,ISL,14378.25,15058.76,16276.45,17939.41,19106.26,20174.85,21822.65,20447.44,23083.73,28066.33,30530.45
Israel,ISR,279990.27,285415.97,300546.19,326528.61,343723.47,357371.97,375862.79,379703.38,432271.22,498266.97,521339.47
Italy,ITA,2187377.58,2200255.26,2240921.14,2420671.36,2517184.21,2600325.59,2775612.62,2627330.09,2950840.66,3295256.34,3452505.72
Jamaica,JAM,24023.89,24397.29,25182.38,26411.12,27651.39,28300.46,28468.53,25451.63,27176.95,30609.45,32423.13
Jordan,JOR,78452.38,80397.36,85588.35,87534.48,94825.38,94604.33,100625.61,104080.2,101616.77,111412.69,118493.88
Japan,JPN,5021591.09,5034454.62,5199915.22,5158900.39,5262254.96,5344060.96,5404462.31,5358320.69,5599031.81,5895687.81,6251558.78
Kazakhstan,KAZ,417039.5,426844.57,406611.06,422786.76,447143.87,475138.15,551108.13,565757.23,650469.81,718550.19,782723.12
Kenya,KEN,139746.7,154709.33,173206.96,188546.46,205511.36,221491.72,240007.0,250255.39,284129.27,318875.2,348430.41
Kyrgyz Republic,KGZ,23114.16,24971.08,25086.54,28429.77,31241.59,30789.43,34955.98,34834.09,39301.9,45841.71,50435.33
Cambodia,KHM,45380.36,48043.83,51719.79,56734.87,61322.33,67766.9,74895.4,73855.51,77441.5,87237.68,95300.03
Kiribati,KIR,232.64,239.74,269.65,291.88,307.64,325.47,341.89,344.18,391.31,435.03,470.21
St. Kitts and Nevis,KNA,1159.51,1259.89,1265.58,1328.21,1391.67,1447.61,1525.1,1280.77,1257.77,1488.0,1595.15
"Korea, Rep.",KOR,1726902.75,1792600.24,1933588.95,2026967.82,2103651.26,2220442.29,2270666.07,2340031.08,2514520.65,2667437.7,2794196.22
Kuwait,KWT,269446.4,250513.5,173580.84,167620.16,193471.11,221391.22,221784.65,176638.96,211098.9,239832.58,243031.02
Latin America & Caribbean (excluding high income),LAC,7999493.96,8247520.83,8198603.47,8406206.37,8835921.27,9309091.16,9615463.35,9320095.97,10541837.79,11848912.63,12556560.66
Lao PDR,LAO,34522.0,38868.37,41395.27,46586.12,50122.95,53366.71,56042.6,58135.96,60225.05,66210.87,71194.7
Lebanon,LBN,93707.68,102439.56,110329.05,119762.49,129139.85,131563.78,125803.33,92719.31,66328.93,70557.78,
Liberia,LBR,6080.1,6475.7,6245.65,7087.45,8073.19,8899.16,9580.66,8545.64,8095.2,9081.81,9856.29
Libya,LBY,133349.22,112538.15,116940.83,112487.61,121473.19,129305.47,117161.52,108205.6,122390.24,132758.23,135295.82
St. Lucia,LCA,2428.65,2508.12,2510.45,2688.57,2844.57,3085.99,3318.85,2655.53,3350.83,4235.08,4529.47
Latin America & Caribbean,LCN,9188922.18,9476926.32,9439578.36,9692169.92,10188888.13,10720443.27,11079381.14,10734843.09,12157408.34,13665365.6,14493678.88
Least developed countries: UN classification,LDC,2269039.14,2472642.89,2591647.4,2779658.32,2973409.13,3270792.35,3562172.38,3689516.58,4006049.67,4497895.46,4848529.53
Low income,LIC,869333.32,967830.48,1033489.9,1121731.42,1183950.73,1259169.07,1351612.59,1378715.13,1457761.69,1618053.97,1733702.79
Liechtenstein,LIE,,,,,,,,,,,
Sri Lanka,LKA,231635.41,243530.58,256403.79,277383.19,291985.46,307237.75,307704.7,283651.69,317188.32,314577.78,318551.48
Lower middle income,LMC,13708901.67,14452726.63,15223371.59,16188614.52,17275526.7,18891921.48,20352914.74,20514318.19,22923861.89,26024091.89,28479010.89
Low & middle income,LMY,49803710.27,52210226.8,53687285.6,56445516.09,59987301.86,64660852.42,68904046.73,69659246.62,78391082.11,87657791.6,95298435.29
Lesotho,LSO,5219.95,5764.44,6386.75,6268.09,5649.08,5747.87,5674.51,5720.44,5742.37,6225.71,6510.59
Late-demographic dividend,LTE,31921563.71,33346492.48,33749725.38,35140098.98,37435332.43,40695488.32,43832638.0,44595040.68,50891046.65,56147475.44,60623385.94
Lithuania,LTU,79034.48,82646.66,83761.79,88700.74,95492.39,101910.41,113379.94,115060.43,129987.13,144405.88,148985.42
Luxembourg,LUX,54838.61,58578.32,61437.31,65980.12,68570.2,70825.27,75270.49,76983.05,88295.13,95651.52,95838.97
Latvia,LVA,45564.64,47483.13,49384.46,52362.43,55691.29,59505.43,63719.76,64107.97,69307.57,77254.91,79976.31
"Macao SAR, China",MAC,88662.89,90217.34,70022.65,70409.2,78445.7,85476.96,84779.83,39219.15,50626.34,42593.03,79697.81
St. Martin (French part),MAF,,,,,,,,,,,
Morocco,MAR,258279.12,250969.67,273699.87,278969.23,291813.53,283691.18,295693.59,286108.59,323019.85,350115.35,374409.08
Monaco,MCO,,,,,,,,,,,
Moldova,MDA,23541.38,24700.28,26084.24,28945.25,31001.7,32129.61,35735.83,35646.57,40707.66,41388.46,43233.05
Madagascar,MDG,35522.72,37117.79,38053.9,40755.59,41438.4,42523.53,45498.32,43150.15,47488.3,52761.64,56864.19
Maldives,MDV,6100.62,6909.83,7653.3,8320.67,9059.37,10360.6,11255.47,6741.12,9837.66,11994.75,12925.86
Mexico,MEX,2150334.06,2254435.51,2309023.75,2457812.55,2528308.61,2606266.1,2638763.91,2453576.08,2677522.3,3042136.94,3288671.33
Marshall Islands,MHL,194.17,195.27,201.22,207.49,219.09,236.79,265.7,261.55,276.58,294.06,314.61
Middle income,MIC,48949596.58,51266111.08,52683439.44,55360216.63,58840845.7,63440454.34,67594697.63,68324428.2,76973791.14,86083331.47,93607284.16
North Macedonia,MKD,26268.3,27774.06,28749.8,31372.06,32579.96,34870.46,37941.42,37050.81,41098.99,44290.01,45068.91
Mali,MLI,30235.98,33110.16,36435.46,40702.0,43345.51,45991.75,50134.29,49903.86,52560.16,58215.98,63497.59
Malta,MLT,13756.26,14923.41,16668.33,18079.6,20352.97,22230.63,25368.27,23945.9,27737.63,31486.64,34545.83
Myanmar,MMR,208269.86,221802.51,227790.29,229647.11,244240.02,291745.89,321180.6,304367.35,276462.29,307876.15,322296.34
Montenegro,MNE,9236.97,9557.25,10160.88,11325.06,12248.57,13385.28,15015.64,13049.78,15176.82,17479.22,19234.82
Mongolia,MNG,30272.59,32298.61,31655.86,32468.15,34940.5,39516.81,44456.62,45560.0,50053.15,56273.8,62421.13
Mozambique,MOZ,27901.3,30064.93,34986.72,37700.8,36130.43,38466.74,41503.34,43454.88,46205.73,51615.4,56171.63
Mauritania,MRT,14306.35,14875.06,15775.04,19136.6,22539.62,23550.3,25064.43,26408.15,27635.4,31470.58,33721.32
Mauritius,MUS,22944.24,24046.75,25271.89,27385.97,28581.04,29194.64,30417.97,26999.3,28793.36,33557.55,37198.78
Malawi,MWI,25181.92,25024.59,23972.52,24755.68,24899.0,25272.19,27651.03,30246.84,34385.89,37146.9,39093.68
Malaysia,MYS,698862.91,746116.31,766027.92,803828.3,854693.62,914713.18,967567.81,931106.66,1022529.03,1189205.79,1277913.68
North America,NAC,18439354.79,19234106.92,19894690.45,20488107.44,21383311.97,22514990.01,23426923.11,23176269.22,25733081.06,28166744.02,29837448.63
Namibia,NAM,21847.54,23966.04,24849.17,24880.31,24787.61,25396.3,25469.88,25525.2,27287.89,30771.83,33220.23
New Caledonia,NCL,,,,,,,,,,,
Niger,NER,21071.37,22315.92,23372.92,24586.2,25897.15,28311.9,32566.72,35501.32,38850.57,46534.79,49436.76
Nigeria,NGA,900501.05,976358.66,989482.93,981583.4,1000651.05,1041739.01,1123347.54,1145672.54,1200097.35,1326367.51,1414033.3
Nicaragua,NIC,28187.25,30743.43,33507.48,36662.94,39320.82,37985.58,38779.47,41045.84,47088.77,52295.62,56678.67
Netherlands,NLD,827475.74,830318.57,851884.87,890488.13,943739.69,996446.72,1059591.13,1065124.6,1186870.07,1319463.05,1398445.34
Norway,NOR,342254.46,340765.24,315145.02,310303.33,340837.02,373182.53,379377.63,361019.82,482471.57,678063.49,576575.75
Nepal,NPL,73334.82,80283.01,82282.97,83198.95,100972.41,111086.75,121063.06,122690.09,134000.17,151512.44,160101.24
Nauru,NRU,88.64,104.48,109.05,114.64,109.28,110.84,122.33,125.9,141.88,155.14,161.93
New Zealand,NZL,160996.11,168455.57,172797.42,188310.54,203167.25,208272.45,224879.08,230501.91,246334.2,267771.3,282620.9
OECD members,OED,50322657.17,52139965.3,53976494.14,56167989.9,58689528.46,61307145.72,64344336.42,63395236.68,69757608.01,77048754.29,81653708.21
Oman,OMN,180245.57,177051.23,150899.64,146364.89,152544.98,173709.31,171026.53,159025.85,175986.43,196499.12,206309.1
Other small states,OSS,262923.2,270578.89,266808.62,281660.43,305281.34,323623.83,352777.92,336703.95,374301.84,418500.27,446968.19
Pakistan,PAK,881009.82,924121.43,973520.33,1019404.0,1069378.81,1129963.71,1162667.38,1186293.82,1285342.89,1441438.13,1493905.95
Panama,PAN,84421.08,95450.56,108461.09,122509.7,137743.34,135258.67,140644.91,116045.91,134436.02,159456.55,177361.08
Peru,PER,336660.85,346866.17,353319.96,372451.97,394435.33,417164.01,440127.33,412561.04,506697.26,557156.35,574287.56
Philippines,PHL,650515.53,694071.31,726055.89,787994.33,840500.71,914882.8,988832.2,923366.7,1001824.46,1153658.84,1262021.93
Palau,PLW,269.97,289.22,320.36,326.25,320.34,329.76,338.34,316.87,284.45,303.38,315.85
Papua New Guinea,PNG,25820.52,29828.19,32085.43,34168.43,36009.67,36731.75,39021.66,38284.7,39727.52,44721.17,47593.93
Poland,POL,925133.01,962317.69,1018896.78,1069459.26,1137654.42,1216240.21,1347315.4,1376571.68,1527350.13,1720333.21,1814628.51
Pre-demographic dividend,PRE,2850340.0,3013596.83,2950207.7,3031576.28,3205482.4,3468249.51,3719945.7,3698712.58,4074423.56,4541722.27,4815225.86
Puerto Rico,PRI,117220.28,116122.53,114269.13,112229.48,108691.83,110917.94,119615.94,120954.84,132333.84,146705.79,152910.06
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,
Portugal,PRT,292135.41,298951.9,307229.82,326364.35,340370.5,359198.92,389285.78,369405.52,401863.01,463068.37,513203.89
Paraguay,PRY,72608.98,76522.55,78091.62,83295.46,88597.62,90877.35,92185.46,94492.1,102977.62,110422.35,119842.42
West Bank and Gaza,PSE,21557.01,22459.71,24638.36,26474.3,27203.92,28400.61,30494.07,28609.64,27878.13,31059.37,30418.12
Pacific island small states,PSS,13182.76,14924.57,16081.69,16656.65,17664.67,18244.06,18508.17,16581.54,16308.5,19546.81,21595.26
Post-demographic dividend,PST,45699121.14,47129260.76,48561298.8,50437339.04,52666456.92,55088094.75,57903433.77,57021566.55,62744398.48,68399174.38,72277196.07
French Polynesia,PYF,,,,,,,,,,,
Qatar,QAT,324265.53,319295.52,240424.8,222778.39,252948.45,283965.16,283662.14,229537.46,292655.07,326445.75,
Romania,ROU,393201.15,410735.73,428470.53,470959.64,527734.76,575768.57,649906.99,660666.46,726048.4,818510.73,912851.63
Russian Federation,RUS,3741783.38,3763534.95,3526235.95,3538976.0,3807101.26,4231842.33,4579553.86,4651428.69,5732443.75,6009067.72,6452309.48
Rwanda,RWA,16775.81,19065.16,20727.87,22245.84,24012.96,26543.18,29845.48,29854.12,36474.42,42227.58,47373.72
South Asia,SAS,8341246.56,8774846.79,9280525.73,10005315.23,10710168.14,11785669.26,12640464.75,12584413.83,14474501.87,16484948.61,18198822.48
Saudi Arabia,SAU,1682819.52,1725296.87,1552528.37,1493555.87,1587211.43,1712131.09,1689230.61,1433571.62,1716790.72,1975238.12,2031780.57
Sudan,SDN,140750.77,165409.53,168783.44,184446.37,181639.24,185735.34,178285.83,156677.4,156168.26,165562.98,150925.74
Senegal,SEN,37962.16,40387.33,43696.52,46623.91,50051.75,53794.44,59654.66,63008.59,71874.34,79875.38,85849.94
Singapore,SGP,448607.29,462493.85,482409.67,503170.47,536689.88,585856.63,601968.44,577746.73,719129.53,799307.75,837348.5
Solomon Islands,SLB,1424.58,1466.63,1505.05,1603.75,1682.67,1768.48,1829.61,1791.09,1921.24,2105.93,2247.08
Sierra Leone,SLE,11891.63,12392.8,11285.17,12053.27,11940.68,12751.46,13065.24,13069.48,13674.92,15143.88,16234.37
El Salvador,SLV,43540.26,46245.03,49059.66,52431.58,55705.68,57245.62,60709.61,58560.35,67623.21,74411.02,79831.08
San Marino,SMR,1677.5,1727.75,1718.78,1755.45,1774.58,1880.1,1991.19,1919.53,2217.65,,
Somalia,SOM,14010.13,17167.59,21027.59,23546.86,25790.78,25208.92,27012.25,25832.27,24949.35,27357.15,29234.14
Serbia,SRB,104798.89,104523.8,105915.3,111926.92,116612.61,123708.9,136739.54,138434.05,154279.65,166993.89,181345.75
South Sudan,SSD,21404.11,15423.02,12827.98,,,,,,,,
Small states,SST,321486.44,332229.19,330513.95,345840.38,374040.64,395462.19,428690.08,405656.59,452420.87,520973.92,567691.75
Sao Tome and Principe,STP,568.96,636.22,635.22,676.15,711.21,828.35,993.44,1118.6,1272.43,1362.92,1405.89
Suriname,SUR,9202.59,9549.8,9622.19,8507.96,10430.16,10704.59,11976.97,10376.87,11307.94,12398.72,13117.36
Slovak Republic,SVK,151678.18,157298.39,163007.58,161498.74,163951.33,170864.11,185132.02,191068.49,205855.75,223011.94,242305.04
Slovenia,SVN,61744.41,63653.37,65265.87,70079.36,75438.77,80823.43,89274.2,88387.61,98030.1,108306.57,116540.12
Sweden,SWE,444616.52,457507.74,481170.74,500423.69,522476.84,544594.05,588258.41,597293.43,660102.49,714036.87,739741.23
